1 -67.4791 -67.4791 2 1 0
1.00166 -67.4748 -67.4748 1 1 0
1.00331 -67.4705 -67.4705 1 1 0
1.00661 -67.4618 -67.4618 1 1 0
1.01072 -67.4509 -67.4509 1 1 0
1.01481 -67.4399 -67.4399 1 1 0
1.0189 -67.4289 -67.4289 1 1 0
1.02296 -67.4179 -67.4179 1 1 0
1.02701 -67.4068 -67.4068 1 1 0
1.03105 -67.3956 -67.3956 1 1 0
1.03507 -67.3844 -67.3844 1 1 0
1.03907 -67.3732 -67.3732 1 1 0
1.04306 -67.3618 -67.3618 1 1 0
1.04704 -67.3505 -67.3505 1 1 0
1.051 -67.3391 -67.3391 1 1 0
1.05495 -67.3276 -67.3276 1 1 0
1.05888 -67.3161 -67.3161 1 1 0
1.06279 -67.3045 -67.3045 1 1 0
1.06669 -67.2929 -67.2929 1 1 0
1.07058 -67.2812 -67.2812 1 1 0
1.07445 -67.2695 -67.2695 1 1 0
1.0783 -67.2577 -67.2577 1 1 0
1.08215 -67.2459 -67.2459 1 1 0
1.08597 -67.234 -67.234 1 1 0
1.08978 -67.222 -67.222 1 1 0
1.09358 -67.21 -67.21 1 1 0
1.09736 -67.198 -67.198 1 1 0
1.10112 -67.1859 -67.1859 1 1 0
1.10487 -67.1737 -67.1737 1 1 0
1.10861 -67.1615 -67.1615 1 1 0
1.11233 -67.1492 -67.1492 1 1 0
1.11603 -67.1369 -67.1369 1 1 0
1.11972 -67.1245 -67.1245 1 1 0
1.1234 -67.1121 -67.1121 1 1 0
1.12706 -67.0996 -67.0996 1 1 0
1.1307 -67.0871 -67.0871 1 1 0
1.13433 -67.0745 -67.0745 1 1 0
1.13795 -67.0618 -67.0618 1 1 0
1.14155 -67.0491 -67.0491 1 1 0
1.14514 -67.0364 -67.0364 1 1 0
1.14871 -67.0236 -67.0236 1 1 0
1.15226 -67.0107 -67.0107 1 1 0
1.1558 -66.9978 -66.9978 1 1 0
1.15933 -66.9848 -66.9848 1 1 0
1.16284 -66.9717 -66.9717 1 1 0
1.16633 -66.9586 -66.9586 1 1 0
1.16981 -66.9455 -66.9455 1 1 0
1.17328 -66.9323 -66.9323 1 1 0
1.17673 -66.919 -66.919 1 1 0
1.18016 -66.9057 -66.9057 1 1 0
1.18358 -66.8923 -66.8923 1 1 0
1.18699 -66.8789 -66.8789 1 1 0
1.19038 -66.8654 -66.8654 1 1 0
1.19375 -66.8518 -66.8518 1 1 0
1.19712 -66.8382 -66.8382 1 1 0
1.20046 -66.8246 -66.8246 1 1 0
1.20379 -66.8108 -66.8108 1 1 0
1.20711 -66.797 -66.797 1 1 0
1.21041 -66.7832 -66.7832 1 1 0
1.2137 -66.7693 -66.7693 1 1 0
1.21697 -66.7554 -66.7554 1 1 0
1.22022 -66.7413 -66.7413 1 1 0
1.22346 -66.7273 -66.7273 1 1 0
1.22669 -66.7131 -66.7131 1 1 0
1.2299 -66.699 -66.699 1 1 0
1.2331 -66.6847 -66.6847 1 1 0
1.23628 -66.6704 -66.6704 1 1 0
1.23945 -66.656 -66.656 1 1 0
1.2426 -66.6416 -66.6416 1 1 0
1.24574 -66.6271 -66.6271 1 1 0
1.24886 -66.6126 -66.6126 1 1 0
1.25197 -66.598 -66.598 1 1 0
1.25507 -66.5834 -66.5834 1 1 0
1.25815 -66.5686 -66.5686 1 1 0
1.26121 -66.5539 -66.5539 1 1 0
1.26426 -66.539 -66.539 1 1 0
1.26729 -66.5241 -66.5241 1 1 0
1.27031 -66.5092 -66.5092 1 1 0
1.27332 -66.4942 -66.4942 1 1 0
1.27631 -66.4791 -66.4791 1 1 0
1.27929 -66.464 -66.464 1 1 0
1.28225 -66.4488 -66.4488 1 1 0
1.2852 -66.4335 -66.4335 1 1 0
1.28813 -66.4182 -66.4182 1 1 0
1.29105 -66.4028 -66.4028 1 1 0
1.29395 -66.3874 -66.3874 1 1 0
1.29684 -66.3719 -66.3719 1 1 0
1.29971 -66.3564 -66.3564 1 1 0
1.30257 -66.3408 -66.3408 1 1 0
1.30542 -66.3251 -66.3251 1 1 0
1.30825 -66.3094 -66.3094 1 1 0
1.31107 -66.2936 -66.2936 1 1 0
1.31387 -66.2777 -66.2777 1 1 0
1.31666 -66.2618 -66.2618 1 1 0
1.31943 -66.2458 -66.2458 1 1 0
1.32219 -66.2298 -66.2298 1 1 0
1.32494 -66.2137 -66.2137 1 1 0
1.32767 -66.1976 -66.1976 1 1 0
1.33038 -66.1813 -66.1813 1 1 0
1.33309 -66.1651 -66.1651 1 1 0
1.33577 -66.1487 -66.1487 1 1 0
1.33845 -66.1323 -66.1323 1 1 0
1.34111 -66.1159 -66.1159 1 1 0
1.34375 -66.0994 -66.0994 1 1 0
1.34639 -66.0828 -66.0828 1 1 0
1.349 -66.0661 -66.0661 1 1 0
1.35161 -66.0494 -66.0494 1 1 0
1.3542 -66.0327 -66.0327 1 1 0
1.35677 -66.0159 -66.0159 1 1 0
1.35933 -65.999 -65.999 1 1 0
1.36188 -65.982 -65.982 1 1 0
1.36441 -65.965 -65.965 1 1 0
1.36693 -65.948 -65.948 1 1 0
1.36944 -65.9308 -65.9308 1 1 0
1.37193 -65.9136 -65.9136 1 1 0
1.37441 -65.8964 -65.8964 1 1 0
1.37687 -65.8791 -65.8791 1 1 0
1.37932 -65.8617 -65.8617 1 1 0
